"","Borehole.ID","Top.depth","Bottom.depth","Depth","Thickness","Material","Material.simplified","ASTM","Reinterpreted","Frozen","Visible.ice","Mid_VI","Cryostructures","VRM","Slope","Organic.cover..m.","Mineral.soil..logs..first.3.m.","Surficial.materials..Rampton.1987.map.","Holocene.deposits","Holocene.conf","Deposit.type","Deposit.type.conf","Notes","predicted_EI_beta"
"1","174-18",1.5,2.4,1.95,0.9,"Clay","Fine","CL","No","Yes","Medium to high",45,"Nbn","Smooth","Undulating",0.1,"Clay/till","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near ice wedge polygons and thermokarst lakes",0.299139335754642
"2","174-22",1.5,2.4,1.95,0.9,"Clay","Fine","CL","No","Yes","Medium to high",45,"Nbn","Smooth","Undulating",0.1,"Silt/clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons and thermokarst lakes",0.122592367128541
"3","174-36",0.1,1.7,0.9,1.6,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0.1,"Clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons and thermokarst lakes",0.126607508701468
"4","174-39",0.1,1,0.55,0.9,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Moderately rugged","Undulating",0.1,"Clay/till","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near ice wedge polygons and thermokarst lakes",0.309530600598392
"5","174-53",0.1,1.5,0.8,1.4,"Clay","Fine","CH","No","Yes","Medium to high",45,"Vs/Nbn","Moderately rugged","Rolling",0.1,"Clay/gravel","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"",0.307660431085005
"6","174-60",4.6,5.8,5.2,1.2,"Clay","Fine","CL","No","Yes","Low",8,"Nbe","Moderately rugged","Undulating",0.1,"Silt/till","Glaciofluvial (ice-contact)","Organics",2,"Glaciolacustrine",2,"Within ice wedge polygons",0.158910505882941
"7","177 South - 15",0.1,1.8,0.95,1.7,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Flat",0.1,"Clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons and thermokarst lakes",0.126413788554691
"8","177 South - 3",0.2,1.5,0.85,1.3,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0.2,"Clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons and thermokarst lakes",0.12680148262088
"9","177 South - 3",4.3,5,4.65,0.7,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0.2,"Clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons and thermokarst lakes",0.112768317146192
"10","177 South - 5",0.1,1.5,0.8,1.4,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0.1,"Clay/sand","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near ice wedge polygons and thermokarst lakes",0.307660431085005
"11","177 South - 7",0.1,1.5,0.8,1.4,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0.1,"Clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons and thermokarst lakes",0.126995710513277
"12","177 South - 8",4.3,4.6,4.45,0.3,"Clay","Fine","CL-ML","No","Yes","High",87,"Vx","Smooth","Undulating",0.1,"Clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons and thermokarst lakes",0.22097089506832
"13","177 South - 8",0.1,1.5,0.8,1.4,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0.1,"Clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons and thermokarst lakes",0.126995710513277
"14","19A-01",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0,"Clay/sand","Glaciofluvial (ice-contact)","None",2,"Glaciolacustrine",2,"Near ice wedge polygons",0.30803396265382
"15","19A-06",0.8,1.5,1.15,0.7,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Nbe","Smooth","Undulating",0.1,"Clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",3,"Near ice wedge polygons",0.125641441678053
"16","19A-09",0.2,1.5,0.85,1.3,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vs","Smooth","Undulating",0.2,"Clay/sand","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near ice wedge polygons",0.30728715132423
"17","19A-10",0.2,1,0.6,0.8,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Nbn","Moderately rugged","Undulating",0.2,"Clay/gravel","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near ice wedge polygons",0.309156065005969
"18","19A-10",1,1.5,1.25,0.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Nbn","Moderately rugged","Undulating",0.2,"Clay/gravel","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near ice wedge polygons",0.30431001628813
"19","19A-11",0.2,1.8,1,1.7,"Clay","Fine","CL","No","Yes","Low",8,"Vx/Nbe","Smooth","Undulating",0.2,"Clay/sand","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near ice wedge polygons",0.179593780282855
"20","309-03",2.4,3,2.7,0.6,"Clay","Fine","CH","No","Yes","Medium to high",45,"Vx/Nbn","Rugged","Rolling",0.1,"Silt/clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near thermokarst lakes",0.293655632390976
"21","309-11",1,2.9,1.95,1.9,"Clay","Fine","CH","No","Yes","Medium to high",45,"Vx/Nbn","Moderately rugged","Moderately steep",0.1,"Silt/clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near thermokarst lakes",0.299139335754642
"22","309-11",4.6,5.8,5.2,1.2,"Clay","Fine","CH","No","Yes","Medium to high",45,"Vx/Nbn","Moderately rugged","Moderately steep",0.1,"Silt/clay","Glaciofluvial (ice-contact)","Organics",3,"Glaciolacustrine",2,"Near thermokarst lakes",0.275808955754203
